Assignment,Problem,Accept,Available,Answers,Mode,File,Note
ScoreR Documentation,Intro,TRUE,TRUE,FALSE,NA,Contents/Intro.html,
ScoreR Documentation,Multiple Choice,TRUE,TRUE,TRUE,NA,Contents/MultipleChoice.html,
ScoreR Documentation,Free Text,TRUE,TRUE,TRUE,NA,Contents/FreeText.html,
ScoreR Documentation,Select from a Set,TRUE,TRUE,TRUE,NA,Contents/MultipleChoice.html,
Setting Up Problems,HH 1 Sec 6 Prob 28,TRUE,TRUE,FALSE,NA,http://dtkaplan.github.io/Summer-2013/AppliedCalculus/HughesHalletBook/Chap01/C-1-S6-P28.html,
Setting Up Problems,C10-01,TRUE,TRUE,FALSE,NA,http://dtkaplan.github.io/Summer-2013/StatisticalModeling/Homework/Chap10/SM-10-01.html,
Grading,C10-02,TRUE,TRUE,FALSE,NA,http://dtkaplan.github.io/Summer-2013/StatisticalModeling/Homework/Chap10/SM-10-02.html,
Grading,Free Text,TRUE,TRUE,FALSE,NA,http://dtkaplan.github.io/Summer-2013/StatisticalModeling/Homework/Chap03/SM-03-P3-15.html,
Examples,More stuff,TRUE,TRUE,FALSE,NA,http://dtkaplan.github.io/Summer-2013/StatisticalModeling/Homework/Chap03/SM-03-P3-15.html,
Examples,Still more stuff,TRUE,TRUE,FALSE,NA,http://dtkaplan.github.io/Summer-2013/ScoreRDocumentation/intro.html,
Examples,And still more,TRUE,TRUE,TRUE,NA,myfile,
